conversation_id,message_id,org_name,org_type,user_name,query,answer,message_tokens,answer_tokens,provider_response_latency,from_source,from_end_user_id,status,created_at,prompt_tokens,completion_tokens,total_tokens,total_price,currency,latency,time_to_first_token,time_to_generate
89980174-804c-458f-82ae-f360e08cd4ca,7f34f191-fa57-4937-b7bb-7f5fb67e10a9,,trial,,hii,Hello! How can I assist you today?,2162,77,9.415011842735112,console,,normal,1771998150,2162,77,2239,0.0017369,USD,2.471,8.838,0.013
10ceb2b3-2123-46f6-9101-f4aa922ffa9b,e7cc985e-808a-49d8-89aa-23ab83bc9152,SEARCH Trial,Trial,Himesh R,"as per https://avni.readme.io/docs/checklist-requirements-capture-guide
for checklist, do we mandatorily need to specify 

Due by (days)	Critical (days)	Overdue (days)	Expired (days)	..
What if i dont want overdue, or expiry at all for a vaccine","For a checklist in Avni, you don't necessarily have to specify all the phases like ""Overdue"" or ""Expired"" for a vaccine. You can define only the phases that are relevant to your use case. If you don't want an item to have an ""Overdue"" or ""Expired"" status, you can simply omit those fields from the checklist item configuration. You can define the phases that are applicable, such as ""Due"" and ""Critical,"" and leave out the others if they are not needed.",4199,158,8.972703123930842,api,9cde19e5-c589-4827-85ab-b2e847823c14,normal,1770204777,4199,158,4357,0.0068736,USD,5.476,7.362,1.496
2af97a67-90b1-4a9f-bce4-7da937c1b2f1,5e67ac3f-ef89-4a45-8545-5cf6fb74f505,achtest,Dev,acha,create a location type ,"To create a Location Type, follow these steps:

1. Click on the “CREATE” button located at the top right corner of the “Location Types” screen.
2. Enter an appropriate name for the Location Type in the “Name” field, starting with an uppercase letter.
3. Set the “Level” field to a numeric value that is lower than its “Parent” Location Type’s “Level” value. For example, use values like “2.0”, “3”, or “4.5”.
4. If applicable, associate a “Parent” Location Type, unless this is the highest Location Type in the hierarchy.
5. Click on the “SAVE” button to save the new Location Type.

This process helps in defining the hierarchy of locations needed for your program.",3577,210,13.300171134993434,api,06f680ac-2d37-45aa-b5c7-8813f8ff0236,normal,1769687104,3577,210,3787,0.0060806,USD,5.515000000000001,10.405,2.772
2af97a67-90b1-4a9f-bce4-7da937c1b2f1,2dddfefa-b5ad-44be-8370-970d1bff26df,achtest,Dev,acha,create location type state,"To create a Location Type for ""State,"" let's define its hierarchy level. Typically, ""State"" is at the top of the hierarchy. Here's how you can set it up:

1. **Name**: State
2. **Level**: 3.0 (since it's usually at the top, you can assign it the highest level number)
3. **Parent**: None (as it's the top level)

Would you like me to automatically create this configuration for you, or would you prefer step-by-step navigation instructions to do it yourself in Avni?",9288,162,9.299713402986526,api,06f680ac-2d37-45aa-b5c7-8813f8ff0236,normal,1769687192,9288,162,9450,0.0331244,USD,6.2989999999999995,9.19,0.01
2af97a67-90b1-4a9f-bce4-7da937c1b2f1,c20f26e6-cc10-47d3-b80d-195d4623158e,achtest,Dev,acha,Name: State,"Thank you for confirming the details for the ""State"" location type. Let's proceed with creating this configuration.

Would you like me to automatically create this configuration for you, or would you prefer step-by-step navigation instructions to do it yourself in Avni?",9105,101,9.205914101097733,api,06f680ac-2d37-45aa-b5c7-8813f8ff0236,normal,1769687654,9105,101,9206,0.032745,USD,2.926,9.087,0.005
2af97a67-90b1-4a9f-bce4-7da937c1b2f1,321f7714-9306-4770-95a9-75c72a1c4eb6,achtest,Dev,acha,"Name: State
Level: 3.0
Parent: None
","Thank you for providing the details for the ""State"" location type. Here's a summary of what we will create:

- **Name**: State
- **Level**: 3.0
- **Parent**: None (as it's the top level)

Would you like me to automatically create this configuration for you, or would you prefer step-by-step navigation instructions to do it yourself in Avni?",9869,150,13.556495477911085,api,06f680ac-2d37-45aa-b5c7-8813f8ff0236,normal,1769687712,9869,150,10019,0.0337039,USD,10.533,13.437,0.009
2af97a67-90b1-4a9f-bce4-7da937c1b2f1,ff2a0c7f-9281-445c-be13-8e104aa4c271,achtest,Dev,acha,yes,"Just to clarify - would you like me to automatically create the configuration for you (Option 1), or would you prefer step-by-step instructions to do it manually (Option 2)? Please let me know which approach you'd prefer.",9481,99,5.491759963333607,api,06f680ac-2d37-45aa-b5c7-8813f8ff0236,normal,1769687756,9481,99,9580,0.033538,USD,2.482,5.285,0.003
2af97a67-90b1-4a9f-bce4-7da937c1b2f1,d13888a0-0604-4d1c-bf0a-bd10d8d55ca9,achtest,Dev,acha,1,"It seems like there might be a misunderstanding. Could you please clarify if you would like me to automatically create the ""State"" location type configuration for you, or if you prefer step-by-step instructions to do it manually in Avni?",9560,95,7.816531768999994,api,06f680ac-2d37-45aa-b5c7-8813f8ff0236,normal,1769687774,9560,95,9655,0.0338335,USD,3.0780000000000003,7.679,0.004
2af97a67-90b1-4a9f-bce4-7da937c1b2f1,d16b7124-c473-4369-b1d9-834609cf4f38,achtest,Dev,acha,Option 1,"Great! I'll proceed with automatically creating the ""State"" location type configuration for you. Here's what will be set up:

- **Name**: State
- **Level**: 3.0
- **Parent**: None

Let's generate the configuration:

```json
{
  ""response"": ""The 'State' location type has been created with Level 3.0 and no parent."",
  ""config"": {
    ""create"": {
      ""addressLevelTypes"": [
        {
          ""name"": ""State"",
          ""level"": 3.0,
          ""parentId"": null,
          ""voided"": false
        }
      ]
    },
    ""update"": {
      ""users"": [
        {
          ""name"": ""acha""
        }
      ]
    }
  },
  ""next_step"": ""Let's create locations now to populate your location hierarchy.""
}
```

This configuration will set up the ""State"" location type for you. Would you like to proceed with creating locations next?",9680,256,10.149226079229265,api,06f680ac-2d37-45aa-b5c7-8813f8ff0236,normal,1769687823,9680,256,9936,0.0365141,USD,3.8149999999999995,10.0,0.016
2af97a67-90b1-4a9f-bce4-7da937c1b2f1,07c11a77-59cb-4b93-89c9-c5232040f80f,achtest,Dev,acha,"Name: State
Level: 3.0
Parent: None
","It looks like you're ready to proceed with creating the ""State"" location type with the following details:

- **Name**: State
- **Level**: 3.0
- **Parent**: None

I'll go ahead and generate the configuration for you:

```json
{
  ""response"": ""The 'State' location type has been created with Level 3.0 and no parent."",
  ""config"": {
    ""create"": {
      ""addressLevelTypes"": [
        {
          ""name"": ""State"",
          ""level"": 3.0,
          ""parentId"": null,
          ""voided"": false
        }
      ]
    },
    ""update"": {
      ""users"": [
        {
          ""name"": ""acha""
        }
      ]
    }
  },
  ""next_step"": ""Let's create locations now to populate your location hierarchy.""
}
```

This configuration will set up the ""State"" location type for you. Would you like to proceed with creating locations next?",10755,257,8.01487908186391,api,06f680ac-2d37-45aa-b5c7-8813f8ff0236,normal,1769687981,10755,257,11012,0.037801,USD,3.851,7.884,0.025
